,ID,Usuario,Fecha_tweet,Texto,Latitud,Longitud,Sentimiento,Idioma
10601,1.01931e+18,mmdemente,2018-07-17T19:38:29.000Z,"😡Cuando sutilmente te manda a la chin$:”%+?!$/@ tu hijo... 
.
.
.
.
#soyunamdemente #sutilmente #cosasdemadres #entremadres #soymama #mamadedos #cursodeverano #nogracias #jugar #niños… https://t.co/wdPLTOHxHr",20.9667,-89.6167,positivo,Español
14375,1.01859e+18,JBalamJaguar,2018-07-15T20:05:50.000Z,"Que Crack es don Lukita, es un placer verlo jugar en en el medio campo, me hace recordar al gran Andrea Pirlo .. https://t.co/OHE5EEu7cB",20.915111,-89.531494,positivo,Español
14623,1.01854e+18,_OyeVictor,2018-07-15T17:09:33.000Z,Estoy ignorando los whats de mi equipo de fútbol porque tengo flojera de ir a jugar :c jaja,20.3662795,-89.575542,negativo,Español
14645,1.01854e+18,M_Sanchez05,2018-07-15T17:03:12.000Z,"🇫🇷 🐓FRANCIA CAMPEÓN DEL MUNDO..! ⭐️⭐️ Bien merecido, pero 🇭🇷 Croacia se ganó el corazón de muchos! Unos guerreros que jugaron cada minuto del mundial a tope..! Lo dejaron todo! 👏🏼👏🏼👏🏼 por eso ambos son dignos finalistas #RESPECT #FRACRO #Russia2018 #FinalWorldCup",20.941035,-89.623611,positivo,Español
15378,1.01837e+18,HurBautista,2018-07-15T05:43:07.000Z,"@drogbajairo Por lo qué el dijo, muchísimo, se le ven las ganas de jugar Champions 😞",20.941035,-89.623611,positivo,Español
15440,1.01836e+18,HurBautista,2018-07-15T05:09:51.000Z,"La primera vez que vi a Edén Hazard fue en un partido de Champions league, Inter vs Lille, ya saben yo amo al Inter, amo a Joe Cole, sabia que jugaría y termine enamorado de Hazard, investigue, vi su edad y muchísimos más videos de el, quede ENCANTADO.",20.941035,-89.623611,positivo,Español
16010,1.01828e+18,chelocanto,2018-07-14T23:35:05.000Z,Así jugarán @TorosDeTijuana y @LeonesOficial el segundo de la serie; Art Charles regresa al lineup titular tras ausentarse cinco juegos por una lesión en la ingle; Rubén Sosa sigue en el día a día; podría regresar mañana https://t.co/6YZSmEb14M,20.941035,-89.623611,positivo,Español
18855,1.01762e+18,RonaldRojasRR,2018-07-13T04:15:52.000Z,"Rivales pero muy conocidos. 11 jugadores de Bélgica militan en clubes ingleses. Precisamente, los Diablos Rojos jugarán por el tercer puesto contra Inglaterra #Rusia2018 . #GolEB5 de @epelboimgroup #VivaLegalEnUSA",20.941035,-89.623611,positivo,Español
19066,1.0176e+18,mateogogui,2018-07-13T02:25:17.000Z,"@keryruiz @Csalcedojr @CH14_ @Miguel_layun @miseleccionmx @MarcoFabian_10 @HectorMorenoh @HHerreramex @CarlosYustisTV @martindelp Pues te diré. Te aseguro que si le dieran la oportunidad de jugar en la selección a otras personas, otra cosa sería. ¿Por",20.941035,-89.623611,neutro,Indeterminado
20552,1.01737e+18,Mamuelox,2018-07-12T11:18:17.000Z,"México es ese país que regaló Texas y California pero anexó Chiapas, realmente creen que algún día jugaremos el quinto partido?",20.941035,-89.623611,positivo,Español
20675,1.01729e+18,mareliamb,2018-07-12T06:04:32.000Z,@JCeronP Se jodio tú rodilla y no podías jugar fútbol?,20.941035,-89.623611,negativo,Español
21289,1.01719e+18,GmelRodriguez,2018-07-11T23:48:11.000Z,"A los 19 anos apenas comenzaba una carrera en ingeniería y no sabía que tan desventurada y aventurada sería mi vida. Este crack ya está por jugar una final de la copa del mundo, siendo el mejor jugador joven del mismo. Tremendo Donatello. @KMbappe https://t.co/Ut9BoSouD6",20.941035,-89.623611,positivo,Español
21622,1.01715e+18,yalku,2018-07-11T20:46:21.000Z,Jugaron con el corazón #FelicidadesCroacia,20.941035,-89.623611,positivo,Español
21634,1.01715e+18,AlfredoJS94,2018-07-11T20:42:37.000Z,"Y pensar que hace 4 años, México dejó sin oportunidad a Croacia de jugar los 8vos de final. . . 
Hoy, Croacia está en la final del mundo, y México sigue sin dar ese salto tan importante. :/",20.915111,-89.531494,positivo,Español
21750,1.01714e+18,GDELAGUERRA,2018-07-11T20:02:01.000Z,Cuando veo jugar a #CRO me da ganas de jugar ajedrez o damas inglesas.,20.941035,-89.623611,positivo,Portugués
22725,1.0169e+18,chelocanto,2018-07-11T04:08:13.000Z,"Los melenudos Sebastián Valle, Leo Heras, Luis Juárez y José Samayoa reportarán este viernes a Monterrey para ponerse bajo las órdenes del “che” Reyes formando parte del selectivo mexicano que jugará los Juegos Centroamericanos y del Caribe Barranquilla 2018",20.941035,-89.623611,positivo,Español
22751,1.01689e+18,MikeGongora,2018-07-11T03:57:33.000Z,En algún momento supe que llegaría esta noche tan nostálgica donde todos los recuerdos me tomarían por sorpresa y jugarían con mis emociones hasta dejarme totalmente dormido.,20.941035,-89.623611,positivo,Español
23394,1.0168e+18,Irving_cas,2018-07-10T21:25:10.000Z,"Oficialmente de vacaciones, mientras voy en el camión tengo que pensar muy bien que hacer al llegar siendo lo primero de mis vacaciones, ver videos de hormiguitas, jugar The Show, ver stream de NAC o jugar Age🤔",20.941035,-89.623611,positivo,Español
23607,1.01677e+18,IsmaaelTrujillo,2018-07-10T19:29:48.000Z,"Pogba siendo un jugador que ya se preocupa más por jugar fútbol que por su apariencia, calladito pero cumplidor, jugadorazo.",20.941035,-89.623611,positivo,Español
23780,1.01674e+18,axeltuz,2018-07-10T17:51:12.000Z,Debí haberme ido hace años cuando pude y verte jugar en el Real Madrid @Cristiano ahora ya no será un sueño cumplido. 😭,20.941035,-89.623611,negativo,Español
24912,1.01649e+18,jonathancruzleo,2018-07-10T01:13:46.000Z,Olvidé la foto para jugar :(,20.941035,-89.623611,negativo,Español
25432,1.01643e+18,H3C70R_C0N3J0,2018-07-09T20:53:04.000Z,"""Así es jugar a GTA Online, el multijugador de GTA V, en pleno 2018"" https://t.co/SxF827xuTY #videojuegos #feedly",21.22812,-89.6748995,positivo,Español
26206,1.01628e+18,luisfbasta2,2018-07-09T11:35:55.000Z,@Pajaropolitico @EPN Empezando por los abusos de Gamboa Patrón! Mira que ir a jugar golf en helicóptero! Te pasas maestro!,20.941035,-89.623611,positivo,Español
26462,1.01618e+18,Alexanderpzcz,2018-07-09T04:43:50.000Z,¿Alguien quiere jugar Preguntados? Jaja :(,20.941035,-89.623611,positivo,Español
26913,1.01613e+18,RonaldRojasRR,2018-07-09T01:39:35.000Z,"Francia y Bélgica chocarán en la primera semifinal de  #Rusia2018 . La última vez que ambos se colaron entre los 4 primeros fue en México 86. En esa vez, no se cruzaron y ambos perdieron y luego jugaron por el 3er. lugar #GolEB5 de @epelboimgroup #VivaLegalEnUSA",20.941035,-89.623611,positivo,Español
27611,1.01604e+18,JosePiorodrigu3,2018-07-08T19:07:09.000Z,@VladimirGarciaG A esa edad ya hacíamos cada fiestota tomábamos como si la cerveza se fuera acabar y luego ir a jugar fut todo crudotes y asta se lo restregábamos al arbitro jajajajajajajaja,20.9232375,-90.276356,positivo,Español
28105,1.01593e+18,Crossoccer,2018-07-08T12:03:11.000Z,"Feliz cumpleaños a Paulina Cachón Ravell, jugadora de los equipos #Sub11  y #Sub13 de la cantera. Que este día sea tan especial como tú talento para jugar en nuestros equipos.

#HappyBirthday 🏆🎉🎈

#BeTheDifference ⚽ https://t.co/pZyCEf1Ggl",21.038959,-89.608437,positivo,Español
28780,1.01576e+18,GabiGallegos__,2018-07-08T00:51:53.000Z,"Yo: chicos no puedo jugar grecos porque me puedo lastimar
Exoditos: VALE VS GIGI
Yo más tarde: ¿qué esta sangre en mi pie?",21.2681685,-89.206889,negativo,Español
29417,1.01567e+18,Alexanderpzcz,2018-07-07T18:34:25.000Z,"Alv que pedo con Cheryshev, ni estaba contemplado para jugar en el Mundial, aquella lesion en el primer partido le esta dando todo a Rusia",20.941035,-89.623611,positivo,Español
30852,1.01538e+18,sofiacuevasr,2018-07-06T23:43:49.000Z,Que ganas de jugar Mario Kart y quedar en el último lugar.,20.941035,-89.623611,positivo,Español
31763,1.01528e+18,RonaldRojasRR,2018-07-06T17:06:46.000Z,Uruguay es la tercera víctima de suramérica que cae ante el imperio francés solo en #Rusia2018 . Primero  fue Perú (1-0) luego Argentina (4-3) y ahora los charrúas (2-0) y aún podría jugar contra otra selección de Conmebol #GolEB5 de @epelboimgroup #VivaLegalEnUSA,20.941035,-89.623611,negativo,Español
34382,1.01475e+18,cansahcabsound,2018-07-05T05:43:54.000Z,"Tu dijiste que viniera a jugar al doctor aprovechando que estabas sola, no entiendo tu molestia porque traigo puesta la botarga del Dr. Simi.",20.941035,-89.623611,negativo,Español
36418,1.01437e+18,CindyMartinez05,2018-07-04T04:46:00.000Z,"Me encanta hacer pedo y que de lo tomen tan personal, es como jugar con su mente, chiquillos jiji",20.941035,-89.623611,positivo,Español
37339,1.01424e+18,Sam_Lr7,2018-07-03T20:08:20.000Z,"Que jugador es Cuadrado, que bien le ha hecho jugar en la Juve.",20.941035,-89.623611,positivo,Español
37734,1.01418e+18,luisfbasta2,2018-07-03T16:20:49.000Z,@espnsutcliffe @miseleccionmx @Telcel Porque hay que jugar hasta contra el árbitro!,20.941035,-89.623611,positivo,Español
38141,1.01407e+18,encado_16,2018-07-03T09:09:43.000Z,"Qué fácil es jugar fútbol con un micrófono en la mano , ahora si todos reventando a Osorio , patéticos todos y peor se oyen sus colegas Boy, Hugo Sánchez , Carrillo hablando que la cago tácticamente , bola de ardidos",21.22812,-89.6748995,negativo,Español
38420,1.014e+18,noceda97,2018-07-03T04:04:42.000Z,"Lo que le hace daño a México jugar en CONCACAF si jugáramos en CONMEBOL sería diferente mas calidad si queremos ser algo mas que un 4to partido es competir contra los grandes Brasil, Argentina etc no a Guatemala y Honduras etc @martinolimx @GarciaPosti @Faitelson_ESPN y la FMF 😪",20.941035,-89.623611,positivo,Español
38668,1.01396e+18,MaristasCUM,2018-07-03T01:50:33.000Z,"Este miércoles 4 de julio a las 8:15pm, se jugará la final del torneo de clausura de la liga premier de básquetbol, CUM vs Relámpagos, en la duela del polifuncional. Los esperamos a todos puntuales para apoyar con las porras ¡VAMOS MARISTAS!
#SerMarista https://t.co/dLAgNwDBqs",20.941035,-89.623611,positivo,Español
38813,1.01394e+18,nicoleelv,2018-07-03T00:25:07.000Z,"Hoy jugaré 🎾 con Vic Vaporub quien se retiró de las canchas hace unos años, a ver cómo me va https://t.co/vIt1Mp1omz",20.941035,-89.623611,positivo,Español
39094,1.0139e+18,AJessuus,2018-07-02T21:40:54.000Z,Me da tanta felicidad ser parte de tu familia poder convivir y jugar contigo en tu primer año muchas felicidades pequeño gigante....❤🇲🇽🇨🇺🎂 #mael #1año… https://t.co/D9znLcvnrm,20.9667,-89.6167,positivo,Español
39272,1.01388e+18,PintoReynaldo,2018-07-02T20:00:30.000Z,Los japoneses se murieron hasta el final eso es jugar el fútbol con el corazón ❣ se propusieron ganar el partido y lo terminaron perdiendo al último segundo 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 felicidades a los nipones,20.941035,-89.623611,positivo,Español
39566,1.01384e+18,A13Holy,2018-07-02T17:39:59.000Z,"@BixulinhaAYA @TD_Deportes Y los Brasileños están orgullos de Neymar, que necesita actuar en lugar de jugar para quitarle el balón a México?",20.941035,-89.623611,positivo,Español
39575,1.01384e+18,A13Holy,2018-07-02T17:36:15.000Z,"@valientxs @Michaelronda @sebastianrulli @_ruggero Recarga el pie, Layún nunca puso peso en Neymar, para el drama que armó pareciera que se lo hubiera fracturado, y tirarse media hora en el piso para consumir tiempo en lugar de jugar como el grande que ",20.941035,-89.623611,positivo,Español
39773,1.01382e+18,PintoReynaldo,2018-07-02T16:12:28.000Z,Así va jugar los cuartos de final @neymarjr https://t.co/iXIF1QJjEX,20.941035,-89.623611,positivo,Español
40018,1.01381e+18,PaulaFuchok,2018-07-02T15:38:38.000Z,8 MINUTOS SON ORO MALDITA SEA!!!!!!!!!!!!! PÁRENSE Y PÓNGANSE A JUGAR MALDITOS BRASILEÑOS DE PAPEL LOS ODIOOOOOOOOOOOOOOOO,20.941035,-89.623611,negativo,Inglés
40154,1.0138e+18,IsmaaelTrujillo,2018-07-02T15:08:23.000Z,Neymar ojala te lesiones y no vuelvas a jugar fútbol en toda tu perra vida,20.941035,-89.623611,negativo,Español
40478,1.01378e+18,JosePiorodrigu3,2018-07-02T13:44:28.000Z,@MrMemeFutbol Mexico va a jugar con 10 o 9 jugadores no logro contra bien,20.9232375,-90.276356,positivo,Español
41243,1.01363e+18,MeriB11,2018-07-02T03:42:49.000Z,Estoy tan agüitada que ver mañana a @miseleccionmx jugar gane o pierda me hará un poquito feliz,20.941035,-89.623611,positivo,Español
41562,1.01361e+18,ilseapcomx,2018-07-02T02:26:57.000Z,"@Refracciondeluz Que hagan huelga de no jugar, sería bien padre. Cosas que no van a pasar.",20.941035,-89.623611,negativo,Español
43394,1.01345e+18,izakjg,2018-07-01T15:53:25.000Z,"Ver jugar a #España 🇪🇸 me recuerda a mi vida... intenta sin ganas por aquí, por allá y nunca se decide a hacer nada...

#Rusia2018
#VotaLibre",20.941035,-89.623611,positivo,Español
43466,1.01345e+18,veroriosg,2018-07-01T15:35:23.000Z,"Le pedimos a un equipo de 11 que haga ganar a México? les vamos a regresar un México que perdió? Vamos por Mexico! Hoy nos toca jugar y ganar, mañana a ellos 🙏🏻 hagamos equipo! Así debe estar el Chicharito #MiseleccionMX #EleccionesPresidenciales2018 https://t.co/REhvw5ZlHq",20.941035,-89.623611,positivo,Español
43868,1.01339e+18,__SoyGabo,2018-07-01T11:58:10.000Z,"Si el lunes se logra lo querido por muchos años, estoy seguro que enfrentaremos a un Bélgica que irá al frente y se jugará la vida al full.",20.941035,-89.623611,positivo,Español
44081,1.01329e+18,DMarentes_001,2018-07-01T05:05:29.000Z,"Para todos los huele pedos de @TeamMessi sepan q no jugó a nada y no supo trasmitir su sentir a su camiseta, como todos los q jugaron con #ARG y solo tuvimos destellos d sus individualidades #Rusia2018 https://t.co/sUrXDLqyr8",20.941035,-89.623611,negativo,Español
44090,1.01329e+18,DMarentes_001,2018-07-01T05:01:36.000Z,"Huele pedos d @TeamMessi no jugó a nada y supo pasar su sentimiento a la camisa, como todos lo q jugaron por #ARG solo nos dieron pequeños destellos individuales #Rusia2018 https://t.co/xbjg8IMCzn",20.941035,-89.623611,negativo,Español
44124,1.01328e+18,Dabogam,2018-07-01T04:45:49.000Z,"@OrlandoRuizPosa @fedderomano @bachiloglu_ @RenatoMendoza5 @supertriqui @VCasapia @2010MisterChip Messi = Pecho frío, es una carga para el jugar con su selección",20.941035,-89.623611,neutro,Inglés
44223,1.01327e+18,diegowsky_,2018-07-01T03:57:13.000Z,@Marioancona Debería jugar con Ramos.,20.941035,-89.623611,positivo,Español
44813,1.01319e+18,ManriquedeD,2018-06-30T22:37:30.000Z,"Amigos, compré el juego de Outlast en las ofertas de Steam y ahora no puedo jugarlo sin gritar un chingo. Manrique eres bien cobarde.",20.941035,-89.623611,negativo,Español
45065,1.01315e+18,OliverMartinezA,2018-06-30T20:00:36.000Z,A chingar a su madre Messi y Cristiano del mundial. Vamos a ver a los VERDADEROS cracks jugar,20.941035,-89.623611,positivo,Español
45760,1.01307e+18,robdedios,2018-06-30T14:39:35.000Z,Muy al fondo de mi corazón le voy a #ARG todo por mis jugadores que juegan y jugaron en #RiverDeSelección,20.941035,-89.623611,positivo,Español
45849,1.01306e+18,francanman03,2018-06-30T13:52:24.000Z,Sigo pensando que es una grosería no ponerlo a jugar... https://t.co/IMy1SavM5u,20.941035,-89.623611,neutro,Español
46117,1.01295e+18,Estefaniabren,2018-06-30T06:43:20.000Z,Pero les gusta jugarle jajajaja https://t.co/L9gpphxgrx,21.22812,-89.6748995,positivo,Estonio
46616,1.01287e+18,yvonnerj,2018-06-30T01:23:20.000Z,"Felicidad es... que se arme la reta con los niños porque la niña Yvonne quería jugar fut hoy ⚽️ 
#ClubDeToby",20.941035,-89.623611,positivo,Español
46752,1.01286e+18,JSalinas,2018-06-30T00:27:42.000Z,Que gusto lanzar en México junto con @WBSC el #Beisbol5 una nueva y divertida forma de jugar beisbol. Ahora lo podrás jugar en los estadios de #LMB #playeverywhere https://t.co/VDYRjXHJBe,20.941035,-89.623611,positivo,Español
47774,1.01272e+18,jesuso9,2018-06-29T15:38:02.000Z,No pensé decirlo pero después de no jugar un mes Clash royale me doy cuenta que las personas se han vuelto aún más rastreras.,20.941035,-89.623611,neutro,Español
49502,1.0124e+18,azumagrina,2018-06-28T18:37:34.000Z,"Por fin puedo ver jugar a #ENG vs #BEL en #Rusia2018 buen partido. Ambas selecciones se juegan el 1er de su grupo, el que pierda queda en 2° #WorldCup",20.941035,-89.623611,positivo,Español
50993,1.01214e+18,EMollerB,2018-06-28T01:01:29.000Z,Tan cierto... ¿para pensarlo no? Por aquello de andar crucificando a @miseleccionmx y que conste que hoy; no me gustó como jugaron. Para nada. https://t.co/LbT77s0y1L,20.941035,-89.623611,negativo,Español
50994,1.01214e+18,chelocanto,2018-06-28T01:01:26.000Z,"ATENCIÓN:  me informan que los @LeonesOficial están buscando la nacionalidad mexicana para Jesús “cacao” Valdez; el dominicano podría jugar la próxima temporada sin ocupar plaza de extranjero, está en trámites. https://t.co/TCXS72A8DU",20.941035,-89.623611,positivo,Español
51162,1.01212e+18,chelocanto,2018-06-27T23:37:14.000Z,Así jugarán @SultanesOficial y @LeonesOficial el sexto juego de la #SerieDelRey ya había advertido el “chapo” que habría cambios: Diego Madero ocupará el lugar de Ricardo Serrano en la tercera base y bateando noveno en el lineup. https://t.co/pcxfITYVxl,20.941035,-89.623611,positivo,Español
51271,1.0121e+18,alemonTjo,2018-06-27T22:43:47.000Z,Necesito jugar volleyball de nuevo ❤️🏐,20.941035,-89.623611,positivo,Español
51780,1.01203e+18,fredo_cd,2018-06-27T17:46:26.000Z,Veo los partidos de las copas del mundo a conciencia desde el 98 en total 23 partidos que he visto jugar a la selección mexicana y nunca la había visto jugar tan mal un partido de mundial 🤔,20.941035,-89.623611,positivo,Español
51808,1.01203e+18,fhabel1,2018-06-27T17:42:06.000Z,@UpalabraMX JUGARON ASQUEROSAMENTE HORRIBLEEEEEE.!!!,20.941035,-89.623611,negativo,Somalí
51856,1.01202e+18,ManuelBarreraP,2018-06-27T17:28:04.000Z,Ánimo @EdsonAlvarez19 una mala tarde la tiene cualquiera. Lo que no cualquiera tiene es la fortuna de jugar un mundial y tener una revancha en pocos días. ¡Arriba carajo! Demuestra que sangre corre por tus venas 🦅 @ClubAmerica,20.941035,-89.623611,positivo,Español
51932,1.01202e+18,DMarentes_001,2018-06-27T16:56:30.000Z,"@Lacho_Realme @miseleccionmx Creo q veías partidos diferentes shavo, nunca los vi sobrados ni nada, hoy les dieron 2 bofetadas d autoridad pero d errores se aprende se paso d fase d grupos ahora necesitan jugar como con Alemania y Corea para pasar a 4tos",20.941035,-89.623611,neutro,Español
52028,1.01201e+18,ascenciovale,2018-06-27T16:30:34.000Z,"Y... si la táctica a lo mejor solo era jugar, ya tenían asegurado el pase. 🤔 #NoSéPiensenlo",20.941035,-89.623611,neutro,Español
52237,1.012e+18,ilsenamalia,2018-06-27T15:58:12.000Z,"@miseleccionmx"", No importa lo que digan los críticos, importa lo qué digan ustedes,Yo digo, jugarón muy bién, pero créo que perdieron un poco la confianza en ustedes, Entrarón con miedo y eso los hizó perder. México vs Suecia"" #MEXSWE https://t.c",20.941035,-89.623611,positivo,Español
52680,1.01199e+18,miguel_salgo,2018-06-27T15:09:54.000Z,"Ahora si Mexico, a jugar!",20.941035,-89.623611,positivo,Español
53197,1.01194e+18,LudmaBorges,2018-06-27T11:48:53.000Z,Siempre siento nervios cuando va a jugar @miseleccionmx 🇲🇽🙈,20.941035,-89.623611,positivo,Español
53201,1.01194e+18,Soy1Trufa,2018-06-27T11:44:25.000Z,"Ahhhhh nunca te puedes despertar a las 6, pero que no vaya a jugar la selección porque ahí si te despiertas Joselin 😅 #MexicoCreoEnTi #MexicovsSuecia",20.941035,-89.623611,positivo,Español
53922,1.0118e+18,baezalexbaez,2018-06-27T02:52:26.000Z,@AlessandroRc19 @jose_rod07 Estoy en casa de Ric guapos pero creo que puedo Jugar en mi cel,20.941035,-89.623611,positivo,Español
54212,1.01177e+18,mveloz92,2018-06-27T00:45:04.000Z,@Vanee_MC Prefiero ser. Un niño a jugar con alguien como niño,20.941035,-89.623611,positivo,Español
54858,1.01169e+18,IamIsrael27,2018-06-26T19:14:46.000Z,Messi no merece jugar con esta bola de leeeeeeerdos,20.941035,-89.623611,negativo,Español
54963,1.01168e+18,JonaLoAn,2018-06-26T18:21:10.000Z,Es un deleite verte jugar Banega!,20.941035,-89.623611,positivo,Catalán
55008,1.01167e+18,Nabysrb,2018-06-26T18:07:17.000Z,No te van  a dejar jugar bebé💙 Eso ya lo sabemos 💙💙,20.941035,-89.623611,positivo,Español
55914,1.01145e+18,Irving_cas,2018-06-26T03:12:35.000Z,"Qué ni se les ocurra poner a Serrano a jugar el miércoles, neta",20.941035,-89.623611,negativo,Catalán
56081,1.01143e+18,JavierMoguel00,2018-06-26T02:08:46.000Z,Tu cara cuando sabes que vas a jugar cada 15 días a las 12 del día https://t.co/ODDWlXns3h,20.941035,-89.623611,positivo,Español
56819,1.01133e+18,YIMICORTES,2018-06-25T19:46:08.000Z,No hay equipo chico!!!  Siempre hay q jugar al football sean quien sea !,20.941035,-89.623611,positivo,Español
56861,1.01133e+18,Esparza1978,2018-06-25T19:21:33.000Z,@lacorneta40 se va a ganar el miércoles por qué awebo tienen que jugar el domingo 1 de julio para que todos estén idiotizados con el partido y nadie se fije en las elecciones !,20.843959,-89.7710925,positivo,Español
57556,1.01122e+18,luisfbasta2,2018-06-25T12:05:28.000Z,@Walrus_028 @Emilio_Gamboa_ @PRI_Nacional @JoseAMeadeK Qué cinismo! Agarra tu helicóptero y anda a jugar golf a casa de la ver....,20.941035,-89.623611,positivo,Español
57576,1.01121e+18,kornitorinco,2018-06-25T11:38:14.000Z,Tiempo de jugar para las princesas 😍😍😍 en Galerías Mérida https://t.co/VI6WrqBGHC,21.03951727,-89.63138432,positivo,Español
58736,1.01098e+18,FerchoCeballosG,2018-06-24T20:02:30.000Z,@Sroored Pero históricamente siempre se le a dificultado jugar contra Nigeria en los mundiales,20.941035,-89.623611,positivo,Español
58840,1.01096e+18,Irving_cas,2018-06-24T19:13:36.000Z,"@AllanyNeri Mña, ni quería jugar :(",20.941035,-89.623611,negativo,Catalán
59187,1.0109e+18,JoelSanchezVZ,2018-06-24T15:02:03.000Z,xD muero por jugarlo ya! https://t.co/5zS6wksCPF,20.941035,-89.623611,positivo,Español
59850,1.01072e+18,Irving_cas,2018-06-24T03:22:02.000Z,"No se quien quisiera que no jugara, si Ibarra o Serrano, pero quiero a Dieguito :c",20.941035,-89.623611,negativo,Español
61221,1.01056e+18,IamIsrael27,2018-06-23T16:39:32.000Z,El lujo de la selección de meter a Rafa y Gio y jugar con 9,20.941035,-89.623611,positivo,Español
61769,1.01053e+18,luisalpizar7,2018-06-23T14:27:36.000Z,"Mi uberista (que se ve que tiene recorrido) me dijo: ""nunca había visto jugar a México cómo vs Alemania, si juegan de nuevo así, ganan"". Empecé bien el día",20.941035,-89.623611,positivo,Español
61804,1.01053e+18,PapoAcevedoAC,2018-06-23T14:12:17.000Z,"Corea dime qué se siente
Hoy jugar contra papá
Te juro que aunque venda tus autos
Tres te vamos a clavar!🎵🎶

@HyundaiMotorMex #sorrynotsorry  #Rusia2018",20.941035,-89.623611,positivo,Español
62082,1.01041e+18,marilindlv,2018-06-23T06:35:56.000Z,@Yzareeth 👏👏👏👏 aunque todos podamos llegar a “jugar”? Jajajajajaja solo bromeo,20.941035,-89.623611,positivo,Eslovenia
63016,1.01026e+18,Alaniarq,2018-06-22T20:17:04.000Z,"#derechoajugar Espacio urbano infantil
https://t.co/OX8gAKtFiR https://t.co/80ez2rESHW",20.941035,-89.623611,positivo,Español
63017,1.01026e+18,Alaniarq,2018-06-22T20:16:28.000Z,"#derechoajugar
Espacio urbano infantil
https://t.co/OX8gAKtFiR https://t.co/mpeJHTbCAm",20.941035,-89.623611,positivo,Español
63263,1.01022e+18,ReneAdrian8,2018-06-22T17:43:06.000Z,@MiguelM9087 @Jonatan_Pena Que se quede en china. No se pir que lo mamas lo he visto jugar y no trae nada,20.941035,-89.623611,negativo,Español
63687,1.01016e+18,azumagrina,2018-06-22T13:41:43.000Z,El empate deja a #BRA en una difícil posición se va a jugar el pase a 8vos en el tercer partido vs #Serbia,20.941035,-89.623611,positivo,Español
